11:53:54 | MOVE_RIGHT | nose_x=0.62
11:53:57 | BLINK | EAR=0.09
11:53:57 | MOVE_RIGHT | nose_x=0.60
11:54:04 | MOVE_RIGHT | nose_x=0.60
11:54:06 | MOVE_LEFT | nose_x=0.47
11:54:06 | MOVE_RIGHT | nose_x=0.66
11:54:07 | BLINK | EAR=0.13
11:54:07 | MOVE_RIGHT | nose_x=0.66
11:54:08 | MOVE_RIGHT | nose_x=0.65
11:54:09 | MOVE_LEFT | nose_x=0.46
11:54:10 | MOVE_LEFT | nose_x=0.27
11:54:11 | MOVE_RIGHT | nose_x=0.64
11:54:12 | MOVE_RIGHT | nose_x=0.68
11:54:13 | MOVE_LEFT | nose_x=0.46
11:54:15 | MOVE_LEFT | nose_x=0.46
11:54:15 | MOVE_RIGHT | nose_x=0.61
11:54:18 | MOVE_RIGHT | nose_x=0.60
11:54:46 | BLINK | EAR=0.22
11:54:49 | MOVE_LEFT | nose_x=0.49
11:54:50 | MOVE_LEFT | nose_x=0.48
11:54:51 | MOVE_LEFT | nose_x=0.49
11:54:53 | MOVE_LEFT | nose_x=0.50
11:54:54 | MOVE_LEFT | nose_x=0.49
11:54:55 | BLINK | EAR=0.18
11:54:55 | MOVE_LEFT | nose_x=0.48
11:54:56 | MOVE_LEFT | nose_x=0.49
11:54:57 | MOVE_LEFT | nose_x=0.50
11:54:58 | MOVE_LEFT | nose_x=0.48
11:54:59 | MOVE_LEFT | nose_x=0.49
11:55:00 | MOVE_LEFT | nose_x=0.48
11:55:01 | MOVE_LEFT | nose_x=0.49
11:55:04 | MOVE_LEFT | nose_x=0.50
11:55:05 | MOVE_LEFT | nose_x=0.49
11:55:09 | LOCK_LOST | Target disappeared
11:55:17 | LOCK_ACQUIRED | sim=0.43
11:55:17 | MOVE_RIGHT | nose_x=0.98
11:55:18 | LOCK_LOST | Target disappeared
11:55:22 | LOCK_ACQUIRED | sim=0.40
11:55:22 | MOVE_LEFT | nose_x=0.25
11:55:22 | LOCK_LOST | Target disappeared
11:55:27 | LOCK_ACQUIRED | sim=0.55
11:55:27 | MOVE_LEFT | nose_x=0.11
11:55:28 | MOVE_LEFT | nose_x=0.43
11:55:29 | MOVE_RIGHT | nose_x=0.61
11:55:30 | MOVE_RIGHT | nose_x=0.67
11:55:31 | MOVE_LEFT | nose_x=0.50
11:55:32 | MOVE_LEFT | nose_x=0.43
11:55:32 | MOVE_RIGHT | nose_x=0.63
11:55:34 | MOVE_LEFT | nose_x=0.47
11:55:35 | MOVE_LEFT | nose_x=0.35
11:55:36 | MOVE_RIGHT | nose_x=0.62
11:55:37 | MOVE_RIGHT | nose_x=0.64
11:55:38 | MOVE_LEFT | nose_x=0.48
11:55:39 | MOVE_LEFT | nose_x=0.46
11:55:40 | MOVE_LEFT | nose_x=0.47
11:55:41 | MOVE_LEFT | nose_x=0.45
11:55:42 | MOVE_LEFT | nose_x=0.46
11:55:43 | MOVE_LEFT | nose_x=0.45
11:55:44 | MOVE_LEFT | nose_x=0.43
11:55:45 | MOVE_LEFT | nose_x=0.50
11:55:46 | MOVE_RIGHT | nose_x=0.69
11:55:47 | MOVE_RIGHT | nose_x=0.69
11:55:48 | MOVE_RIGHT | nose_x=0.68
11:55:49 | MOVE_LEFT | nose_x=0.46
11:55:51 | MOVE_LEFT | nose_x=0.47
11:55:52 | MOVE_LEFT | nose_x=0.46
11:55:53 | MOVE_LEFT | nose_x=0.48
11:55:54 | MOVE_LEFT | nose_x=0.49
11:55:55 | MOVE_LEFT | nose_x=0.50
11:55:56 | MOVE_LEFT | nose_x=0.49
11:55:57 | MOVE_LEFT | nose_x=0.48
11:55:58 | MOVE_LEFT | nose_x=0.47
11:55:59 | MOVE_LEFT | nose_x=0.48
11:56:00 | MOVE_LEFT | nose_x=0.48
11:56:01 | MOVE_LEFT | nose_x=0.47
11:56:02 | MOVE_LEFT | nose_x=0.48
11:56:03 | MOVE_LEFT | nose_x=0.48
11:56:05 | MOVE_LEFT | nose_x=0.47
11:56:05 | BLINK | EAR=0.19
11:56:05 | MOVE_LEFT | nose_x=0.41
11:56:06 | MOVE_RIGHT | nose_x=0.63
11:56:07 | MOVE_RIGHT | nose_x=0.61
11:56:08 | MOVE_LEFT | nose_x=0.48
11:56:08 | BLINK | EAR=0.15
11:56:08 | MOVE_LEFT | nose_x=0.30
11:56:09 | MOVE_LEFT | nose_x=0.26
11:56:10 | MOVE_RIGHT | nose_x=0.64
11:56:11 | MOVE_RIGHT | nose_x=0.61
11:56:11 | MOVE_LEFT | nose_x=0.49
11:56:12 | MOVE_LEFT | nose_x=0.40
11:56:13 | MOVE_RIGHT | nose_x=0.63
11:56:14 | MOVE_LEFT | nose_x=0.45
11:56:15 | MOVE_LEFT | nose_x=0.19
11:56:16 | MOVE_LEFT | nose_x=0.44
11:56:16 | MOVE_RIGHT | nose_x=0.62
11:56:17 | BLINK | EAR=0.18
11:56:18 | MOVE_LEFT | nose_x=0.50
11:56:19 | MOVE_LEFT | nose_x=0.35
11:56:20 | MOVE_RIGHT | nose_x=0.62
11:56:21 | BLINK | EAR=0.16
11:56:21 | MOVE_RIGHT | nose_x=0.61
11:56:21 | MOVE_LEFT | nose_x=0.48
11:56:22 | MOVE_LEFT | nose_x=0.37
11:56:23 | MOVE_LEFT | nose_x=0.38
11:56:23 | BLINK | EAR=0.21
11:56:23 | MOVE_LEFT | nose_x=0.38
11:56:25 | MOVE_LEFT | nose_x=0.50
11:56:26 | BLINK | EAR=0.12
11:56:26 | MOVE_LEFT | nose_x=0.45
11:56:27 | MOVE_LEFT | nose_x=0.46
11:56:28 | BLINK | EAR=0.22
11:56:28 | MOVE_LEFT | nose_x=0.48
11:56:29 | LOCK_LOST | Target disappeared
11:56:30 | LOCK_ACQUIRED | sim=0.45
11:56:30 | MOVE_RIGHT | nose_x=0.86
11:56:31 | LOCK_LOST | Target disappeared
11:56:31 | LOCK_ACQUIRED | sim=0.58
11:56:31 | SMILE | ratio=0.47
11:56:31 | MOVE_RIGHT | nose_x=1.01
11:56:32 | LOCK_LOST | Target disappeared
11:56:39 | LOCK_ACQUIRED | sim=0.48
11:56:39 | MOVE_RIGHT | nose_x=1.00
11:56:40 | MOVE_RIGHT | nose_x=0.76
11:56:42 | MOVE_LEFT | nose_x=0.49
11:56:43 | MOVE_LEFT | nose_x=0.45
11:56:44 | MOVE_LEFT | nose_x=0.45
11:56:44 | BLINK | EAR=0.19
11:56:44 | MOVE_LEFT | nose_x=0.45
11:56:45 | MOVE_LEFT | nose_x=0.31
11:56:46 | MOVE_LEFT | nose_x=0.40
11:56:47 | MOVE_LEFT | nose_x=0.40
11:56:48 | MOVE_LEFT | nose_x=0.41
11:56:48 | BLINK | EAR=0.17
11:56:48 | MOVE_LEFT | nose_x=0.41
11:56:59 | BLINK | EAR=0.17
11:57:00 | BLINK | EAR=0.13
11:57:09 | MOVE_LEFT | nose_x=0.50
11:57:10 | MOVE_LEFT | nose_x=0.42
11:57:11 | MOVE_LEFT | nose_x=0.49
11:57:11 | MOVE_RIGHT | nose_x=0.65
11:57:12 | MOVE_RIGHT | nose_x=0.67
11:57:13 | MOVE_LEFT | nose_x=0.48
11:57:14 | MOVE_LEFT | nose_x=0.30
11:57:15 | MOVE_RIGHT | nose_x=0.62
11:57:16 | MOVE_RIGHT | nose_x=0.68
11:57:17 | MOVE_LEFT | nose_x=0.49
11:57:18 | MOVE_LEFT | nose_x=0.39
11:57:19 | MOVE_RIGHT | nose_x=0.60
11:57:20 | MOVE_RIGHT | nose_x=0.61
11:57:21 | MOVE_RIGHT | nose_x=0.60
11:57:22 | MOVE_RIGHT | nose_x=0.60
11:57:23 | MOVE_RIGHT | nose_x=0.61
11:57:24 | MOVE_RIGHT | nose_x=0.63
11:57:25 | MOVE_RIGHT | nose_x=0.62
11:57:26 | BLINK | EAR=0.15
11:57:26 | MOVE_RIGHT | nose_x=0.62
11:57:26 | BLINK | EAR=0.09
11:57:26 | MOVE_RIGHT | nose_x=0.61
11:57:28 | BLINK | EAR=0.15
11:57:31 | MOVE_RIGHT | nose_x=0.61
11:57:32 | MOVE_LEFT | nose_x=0.50
11:57:33 | MOVE_LEFT | nose_x=0.23
11:57:34 | MOVE_RIGHT | nose_x=0.61
11:57:35 | MOVE_RIGHT | nose_x=0.67
11:57:36 | MOVE_LEFT | nose_x=0.50
11:57:37 | MOVE_LEFT | nose_x=0.40
11:57:38 | MOVE_RIGHT | nose_x=0.60
11:57:39 | MOVE_RIGHT | nose_x=0.66
11:57:39 | MOVE_LEFT | nose_x=0.46
11:57:40 | MOVE_LEFT | nose_x=0.41
11:57:41 | MOVE_RIGHT | nose_x=0.60
